title,note,pub_date,link
Core Business Statistics Series,These data tables are for all sectors.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/core-business-statistics-series.html
2012 Mining (NAICS Sector 21),"These data tables are for Mining, Quarrying, and Oil and Gas Extraction.",2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/mining-reports.html
2012 Utilities (NAICS Sector 22),These data tables are for the Utilities sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/utilities.html
2012 Wholesale Trade (NAICS Sector 42),These data tables are for the Wholesale Trade sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/wholesale-trade.html
2012 Transportation and Warehousing (NAICS Sector 48-49),These data tables are for the Transportation and Warehousing sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/transportation-warehousing.html
2012 Information (NAICS Sector 51),These data tables are for the Information sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/information.html
2012 Admin & Support & Waste Mgmt & Remediation Svcs (NAICS Sector 56),These data tables are for the Administrative and Support and Waste Management and Remediation Services.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/aswmrs-services.html
2012 Accommodation and Food Services (NAICS Sector 72),These data tables are for the Accommodation and Food Services sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/accommodation-food-services.html
2012 Construction (NAICS Sector 23),These data tables are for the Constructions sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/construction.html
2012 Manufacturing (NAICS Sector 31-33),These data tables are for the Manufacturing sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/manufacturing-reports.html
2012 Retail Trade (NAICS Sector 44-45),These data tables are for the Retail Trade sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/retail-trade.html
2012 Finance and Insurance (NAICS Sector 52),These data tables are for the Finance and Insurance sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/fincance-insurance.html
2012 Real Estate and Rental and Leasing (NAICS Sector 53),These data tables are for the Real Estate and Leasing sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/real-estate-rental-leasing.html
"2012 Professional, Scientific, and Technical Svcs (NAICS Sector 54)","These data tables are for the Professional, Scientific, and Technical Services sector.",2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/professional-scientific-technical-services.html
2012 Management of Companies and Enterprises (NAICS Sector 55),These data tables are for the Management of Companies Enterprises sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/management-companies-enterprises.html
2012 Educational Services (NAICS Sector 61),These data tables are for the Educational Services sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/educational-services.html
2012 Health Care and Social Assistance (NAICS Sector 62),These data tables are for the Health Care and Social Assistance sector.,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/health-care-social-assistance.html
"2012 Arts, Entertainment, and Recreation (NAICS Sector 71)","These data tables are for the Arts, Entertainment and Recreation sector.",2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/arts-entertainment-recreation-industries.html
2012 Other Services (Except Public Administration) (NAICS Sector 81),These data tables are for Other Services (Except Public Administration).,2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/other-services.html
2012 Economic Census of Island Areas,"Links to American FactFinder (AFF) tables for the 2012 Economic Census of Island Areas for American Samoa, CNMI, Guam, Puerto Rico, & the U.S. Virgin Islands.",2012,https://www.census.gov/content/census/en/data/tables/2012/econ/census/island-areas.html
Core Business Statistics Series,These data tables are for all sectors.,2007,https://www.census.gov/content/census/en/data/tables/2007/econ/census/core-business-statistics-series.html
2007 Manufacturing (NAICS Sector 31-33),These data tables are for the Manufacturing sector.,2007,https://www.census.gov/content/census/en/data/tables/2007/econ/census/manufacturing-reports.html
2007 Wholesale Trade (NAICS Sector 42),These data tables are for the Wholesale Trade sector.,2007,https://www.census.gov/content/census/en/data/tables/2007/econ/census/wholesale-trade.html
2007 Transportation and Warehousing (NAICS Sector 48-49),These data tables are for the Transportation and Warehousing sector.,2007,https://www.census.gov/content/census/en/data/tables/2007/econ/census/transportation-warehousing.html
2007 Information (NAICS Sector 51),These data tables are for the Information sector.,2007,https://www.census.gov/content/census/en/data/tables/2007/econ/census/information.html
